scountry,scoursestart,sdeadline,sdegree,stitle,suni,surl
Study in: Australia,Course starts 2023,4 Aug 2023 (annual),Masters/PhD Degree,Flinders International Postgraduate Research Scholarship (FIPRS),Flinders University,https://www.scholars4dev.com/6832/flinders-university-scholarships-for-international-students/
"Study in: Milan, Italy",Course starts 2023/24,14 Apr/9 June 2022,Bachelor’s/Masters Degree,Bocconi Merit and International Awards,Bocconi University,https://www.scholars4dev.com/7574/scholarships-in-italy-for-international-students-at-bocconi-univiersity/
Study in:  Netherlands,Course starts 2023/24,30 Mar/5 Sept 2023 (annual),Masters/Short Courses,Orange Knowledge Programme in The Netherlands,Netherlands Government,https://www.scholars4dev.com/7672/netherlands-fellowship-program/
Study in:  any Country,Course starts 2023,17 Mar 2023 (annual),Masters/PhD Degree,Aga Khan Foundation International Scholarship Programme,Aga Khan Foundation,https://www.scholars4dev.com/2467/aga-khan-international-scholarships-for-developing-countrie/
Study in:  Belgium,Course starts 2023,1 Feb-6 Apr 2023 (annual),Masters Degree,Government of Flanders Master Mind Scholarships for International Students,Government of Flanders,https://www.scholars4dev.com/14865/government-of-flanders-master-mind-scholarships-for-international-students/
Study in:  Turkey,Course starts 2023,20 Feb 2023 (annual),Bachelors/Masters/PhD Degree,Türkiye Scholarships for International Students,Turkish Government,https://www.scholars4dev.com/3829/turkish-government-scholarships-for-international-students/
Next course starts July 2023,-,Study in:  Australia,Bachelors/Masters Degree,Macquarie Vice-Chancellor’s International Scholarships,Macquarie University,https://www.scholars4dev.com/1398/macquarie-university-scholarships-for-international-students/
Study in:  Singapore,Next course starts Jan 2024,1 June 2023 (annual),PhD Degree,Singapore International Graduate Award,Singapore Government,https://www.scholars4dev.com/13831/singapore-international-graduate-award/
Study in: Japan,Course starts September 2023,17 Feb 2023 (annual),Masters Degree,JFUNU Scholarships for MSc in Sustainability Programme for Developing Country Students,JFUNU,https://www.scholars4dev.com/5868/japan-foundation-united-nations-university-scholarships-for-developing-countries/
Study in:  selected Countries,Course starts AY 2023-2024,28 Feb/26 May 2023 (annual),Masters Degree,Joint Japan World Bank Graduate Scholarship Program,Japan Gov’t/World Bank,https://www.scholars4dev.com/2735/japan-world-bank-graduate-scholarships-for-development-related-studies/
Study in:  UK,Course starts September 2023,17 May 2023 (annual),Masters (MS) Degree,Nottingham Developing Solutions Scholarships,University of Nottingham,https://www.scholars4dev.com/2763/developing-solutions-master-scholarships-at-university-of-nottingham/
Study in:  any Country (online),Next term starts 6 Apr/15 June 2023,16 Mar/25 May 2023 (annual),Bachelors Degree,University of the People Online Tuition Free Degrees,University of the People,https://www.scholars4dev.com/3630/free-online-education-at-university-of-the-people/
Study in:  Belgium,Next course starts September 2023,15 Feb 2023 (annual),Masters (MS) Degree,Science@Leuven Scholarships for International Students,K.U. Leuven Faculty of Science,https://www.scholars4dev.com/3222/science-scholarships-for-international-students-at-ku-leuven/
Study in: any developing country,Course starts 2023,1 March 2023 (annual),Bachelor’s Degree,WMF Empowerment Through Education Scholarships for Developing Country Students,Wells Mountain Foundation,https://www.scholars4dev.com/5802/wmf-scholarships-for-developing-country-students/
Study in:  Germany,Next course starts 2023,1 Mar/1 Sep (annual),Masters/PhD Degree,Heinrich Boll Scholarships in Germany for International Students,Heinrich Boll Foundation,https://www.scholars4dev.com/3761/heinrich-boll-scholarships-for-international-students/
Study in: USA,Course starts 2023,15 Jan/17 Feb 2023 (annual),Bachelors Degree,ICSP Scholarships at University of Oregon USA,University of Oregon,https://www.scholars4dev.com/13921/icsp-tuition-scholarships-at-university-of-oregon-usa/
Study in: Canada,Next course starts September 2023,15 Jan/1 Feb 2023 (annual),Bachelors (BS) Degree,York University International Student Scholarships,York University,https://www.scholars4dev.com/3410/international-undergraduate-scholarships-at-york-university/
Study in: UK,Course starts  September 2023,27 Feb/24 April 2023 (annual),Bachelors/Masters Degree,Bristol University Think Big Scholarships,University of Bristol,https://www.scholars4dev.com/3751/international-postgraduate-scholarships-at-bristol-university/
Study in: Sweden,Course starts August 2023,16 Jan 2023 (annual),Masters Degree,Chalmers IPOET Scholarships for International Students,Chalmers University of Technology,https://www.scholars4dev.com/9822/chalmers-ipoet-scholarships-for-international-students/
Study in: France,Course starts September 2023,10 Jan 2023 (annual),Masters Degree,Ampère Excellence Scholarships for International Students,ENS de Lyon,https://www.scholars4dev.com/10349/ampere-excellence-scholarships-for-international-students/
Study in: Sweden,Course starts August 2023,16 Jan/28 Feb 2023,Masters Degree,Swedish Institute Scholarships for Global Professionals,Swedish Institute,https://www.scholars4dev.com/5295/sweden-scholarships-for-international-students-from-developing-countries/
Study in: Sweden,Course starts August 2023,16 Jan/Feb 2023 (annual),Bachelors/Masters Degree,Lund University Global Scholarship Programme,Lund University,https://www.scholars4dev.com/6908/lund-university-scholarships-sweden/
Study in:  France,Course starts AY 2023-2024,10 Jan 2023 (annual),Masters/PhD Degree,Eiffel Scholarships in France for International Students,French Government,https://www.scholars4dev.com/2282/eiffel-scholarships-for-international-students/
Study in: Sweden,Course starts August 2023,16 Jan 2023 (annual),Masters Degree,KTH Scholarships,KTH,https://www.scholars4dev.com/14048/kth-tuition-fee-waivers-for-non-eu-students/
Study in:  Switzerland,Course starts September 2024,28 Feb 2024 (annual),Masters (MS) Degree,University of Geneva Excellence Masters Fellowships,University of Geneva,https://www.scholars4dev.com/13822/university-of-geneva-excellence-masters-fellowships/
Study in:  UK,Course starts Sept 2023,13 December 2022 (annual),Masters Degree,Commonwealth Shared Scholarship Scheme at UK Universities,DFID/UK Universities,https://www.scholars4dev.com/2834/commonwealth-shared-scholarship-scheme-for-developing-countries/
Study in: Sweden,Course starts August 2023,1 Feb 2023 (annual),Masters Degree,Uppsala University Global Scholarships,Uppsala University,https://www.scholars4dev.com/9794/the-uppsala-university-ipk-scholarships-for-international-students/
Study in: Denmark,Next course starts Sept 2023,15 Jan 2023 (annual),Masters Degree,Danish State Tuition Fee Waivers and Scholarships at Roskilde University,Roskilde University,https://www.scholars4dev.com/10967/danish-state-tuition-fee-waivers-and-scholarships-at-roskilde-university/
Study in: Switzerland,Course starts Fall 2024,15 Dec 2023 (annual),Masters Degree,ETH Zurich Excellence Masters Scholarships,ETH Zurich,https://www.scholars4dev.com/9763/eth-zurich-excellence-masters-scholarship-program/
Study in:  France,Course starts September 2023,30 Nov 2022/22 Feb 2023 (annual),Bachelors/Masters Degree,Emile Boutmy Scholarships for Non-EU Students at Sciences Po,Sciences Po,https://www.scholars4dev.com/2593/emile-boutmy-scholarships-for-non-eu-students/
Study in:  Netherlands,Next course starts Sept 2023,31 Jan 2023 (annual),Masters Degree,Utrecht Excellence Scholarships for International Students,Utrecht University,https://www.scholars4dev.com/2776/utrecht-excellence-scholarships-for-international-students/
"Study in: Sheffield, UK",Course starts Sept 2022/Jan 2023,31 May/1 Nov 2022 (annual),Bachelors/Masters Degree,Transform Together Scholarships for International and European Union (non-UK) Students,Sheffield Hallam University,https://www.scholars4dev.com/8250/sheffield-hallam-university-scholarships-for-international-students/
Study in: UK,Course starts Sept/Oct 2023,1 Nov 2022 (annual),Masters Degree,British Chevening Scholarships in UK for International Students,British Government/FCO,https://www.scholars4dev.com/3299/british-chevening-scholarships/
"Study in: London, UK",Course starts Sept 2023,11 July 2023 (annual),Bachelors/Masters Degree,International Ambassador Scholarships at University of West London,University of West London,https://www.scholars4dev.com/8119/international-ambassador-scholarships-university-west-london/
Study in:  UK,Course starts September 2022,12/21 Jan 2022 (annual),MBA/Masters Degree,Oxford Pershing Square Graduate Scholarships,Pershing Square Foundation,https://www.scholars4dev.com/13195/oxford-perishing-square-graduate-scholarships/
"Study in:  Asia, Australia, NZ",Course starts 2023/2024,varies,Masters Degree,ADB-Japan Scholarship Program for Developing Countries in Asia and Pacific,ADB/Japan Government,https://www.scholars4dev.com/3795/adb-jsp-scholarships-for-asians-and-pacific-islanders/
Study in: Australia,Next course starts July 2023,admissions deadline (annual),Bachelors/Masters Degree,Adelaide Global Academic Excellence Scholarships for International Students,University of Adelaide,https://www.scholars4dev.com/6711/university-of-adelaide-scholarships-for-international-students/
Study in: Sweden,Course starts August 2021,15 Feb 2021 (annual),Masters Degree,The University of Gothenburg Axel Adler Scholarships,Gothenburg University,https://www.scholars4dev.com/14248/the-university-of-gothenburg-study-scholarship/
Study in: Australia,Next course starts Feb 2021,1 Aug 2020 (annual),Masters (MS) Degree,International Water Centre Scholarships for International Students,International Water Centre,https://www.scholars4dev.com/129/international-water-leader-scholarships-for-international-students/
Study in:  UK,Next course starts Sept 2020,29 May 2020 (annual),Masters Degree,Westminster International Postgraduate Full Scholarships,University of Westminster,https://www.scholars4dev.com/1999/scholarships-for-developing-countries-at-university-of-westminster/
Study in:  UK,Course starts September 2020,29 May 2020 (annual),Undergraduate Degree,Westminster Undergraduate Full Scholarships,University of Westminster,https://www.scholars4dev.com/3314/undergraduate-scholarships-for-developing-countries-at-university-of-westminster/
Study in: New Zealand,Course starts 2020,15 Apr 2020 (annual),Bachelors Degree,UC International First Year Undergraduate Scholarships,University of Canterbury,https://www.scholars4dev.com/12026/uc-international-first-year-scholarship/
Study in:  UK,Course starts 1 Oct 2020-1 Feb 2021,24 April 2020 (annual),PhD Degree,Vice Chancellor’s International Scholarship for Research Excellence at University of Nottingham,University of Nottingham,https://www.scholars4dev.com/2649/international-research-excellence-scholarships-at-university-of-nottingham/
Study in: Netherlands,Course starts September 2020,31 March (annual),Masters Degree,World Citizen Talent Scholarship for International Students,The Hague University of Applied Sciences,https://www.scholars4dev.com/7275/one-world-citizen-talent-scholarship/
Study in: Netherlands,Course starts September 2020,15 Jan/1 Feb 2020 (annual),Masters Degree,Amsterdam Excellence Scholarships (AES),University of Amsterdam,https://www.scholars4dev.com/9907/amsterdam-excellence-scholarships-for-international-students/
Study in:  UK,Course starts Sept 2020,17 Feb 2020 (annual),PhD Degree,Edinburgh Global Research Scholarships,University of Edinburgh,https://www.scholars4dev.com/14487/edinburgh-global-research-scholarships/
Study in: Canada,Course starts 2021/22,30 May/30 Sept,Undergraduate Degree,Humber International Entrance Scholarships,Humber College,https://www.scholars4dev.com/3482/international-undergraduate-scholarships-at-humber-college-canada/
Study in:  Italy,Course starts 1 Nov 2019,28 Feb/29 Aug 2019 (annual),PhD Degree,Scuola Normale Superiore PhD Scholarships in Italy,Scuola Normale Superiore,https://www.scholars4dev.com/14969/scuola-normale-superiore-phd-scholarships-in-italy/
Study in: Japan,Course starts 2020,varies per country,Bachelor’s Degree,Japanese Government Scholarships for International Undergraduate Students,Japanese Government,https://www.scholars4dev.com/5680/japanese-government-scholarships-for-international-undergraduate-students/
Study in:  UK,Course starts September 2019,31 May 2019 (annual),Bachelors (BS) Degree,Westminster Vice-Chancellor’s Scholarships for Developing Country Students,University of Westminster,https://www.scholars4dev.com/8427/vice-chancellors-scholarships-westminster-university/
Study in:  any Country,Course starts Aug/Sept 2019,14 April 2019 (annual),Masters (MS) Degree,OFID Scholarship Award for International Students,OFID,https://www.scholars4dev.com/4021/ofid-scholarships-in-international-development/
Study in:  Australia,Course starts March-Nov 2019,15 Nov 2018 (annual),Masters/PhD Degree,Endeavour Postgraduate Leadership Award,Australian Gov’t,https://www.scholars4dev.com/3710/endeavour-postgraduate-scholarship-awards/
Study in:  Australia,Course starts 2023/2024,"varies, April-Oct (annual)",Masters/PhD Degree,Australia Research Training Program (RTP) Scholarships,Australian Government,https://www.scholars4dev.com/3023/international-postgraduate-scholarships-at-australian-universities/
30 Sept (annual),Study in: Germany,30 June,MBA/Masters Degree,Kofi Annan MBA Scholarships for Developing Country Students,Kofi Annan Foundation/ESMT,https://www.scholars4dev.com/4687/kofi-annan-mba-scholarships-for-developing-country-students/
Ongoing (annual),Study in:  Australia,,Masters/PhD Degree,University of Melbourne Graduate Research Scholarships,University of Melbourne,https://www.scholars4dev.com/1331/university-of-melbourne-research-scholarships-for-international-students/
Study in:  Belgium,Course starts October 2018,31 Jan 2018 (annual),Doctoral Degree (PhD),IRO PhD Scholarships for Developing Countries at K.U. Leuven University,K.U. Leuven,https://www.scholars4dev.com/1507/iro-doctoral-scholarships-for-developing-countries/
Study in:  Netherlands,Course starts May-Dec 2018,1 Dec 2017 (annual),Training,Talent for Governance Training Scholarships for Developing Countries,The Hague Academy for Local Gov,https://www.scholars4dev.com/2611/tog-training-scholarships-for-developing-countries/
Study in: Italy,Course starts Sept 2017,12 June 2017,Masters Degree,UNIPV International Scholarships for Developing Countries,University of Pavia,https://www.scholars4dev.com/4748/italy-scholarships-for-developing-countries/
Study in: UK,Course starts September 2017,15 May 2017 (annual),Masters Degree,University of Bradford Global Development Scholarships,University of Bradford,https://www.scholars4dev.com/6008/university-of-bradford-scholarships-for-countries-in-crisis/
Study in: New Zealand,Course starts 2018/2019,15 July 2018 (annual),PhD Degree,New Zealand International Doctoral Research Scholarships,New Zealand Government,https://www.scholars4dev.com/11578/new-zealand-international-doctoral-research-scholarships/
Study in: UK,Course starts September 2017,31 May 2017 (annual),Masters Degree,Vice-Chancellor’s International Scholarships at University of the Arts London,University of Arts London,https://www.scholars4dev.com/10709/vice-chancellors-international-scholarships-at-university-of-arts-london/
Study in:  UK,Course starts Sept 2018/Jan 2019,12 Oct 2018 (annual),Masters Degree,Westminster Full-Fee Masters Scholarships for International Students,University of Westminster,https://www.scholars4dev.com/8785/full-tuition-fee-waivers-international-students-westminster-university/
Study in:  Denmark,Course starts Sept 2022/Feb 2023,"varies, Mar-Apr/Sep-Oct",Masters Degree,Denmark Government Scholarships for Non-EU Students,Danish Government,https://www.scholars4dev.com/3771/danish-international-scholarship-scheme-for-non-eu-students/
Study in:  Finland,Next course starts 2020/2021,Rolling (annual),PhD Degree,EDUFI Doctoral Fellowships in Finland,EDUFI,https://www.scholars4dev.com/3355/cimo-international-research-fellowships/
Study in:  Australia,Next course starts: Jan-Nov 2018,30 June 2017 (annual),Short Course/Training,Endeavour Executive Fellowships,Australian Government,https://www.scholars4dev.com/2287/endeavor-executive-awards-for-asia-pacific/
"Study in:  Paris, France",Next course starts Sept 2018/Jan 2019,15 Jun/26 Nov 2018 (annual),MBA Degree,Fondation Rainbow Bridge MBA Scholarships for African and Asian Women,Fondation Rainbow Bridge/HEC,https://www.scholars4dev.com/3334/fondation-rainbow-bridge-mba-scholarships-for-african-and-asian-women/
Study in: Australia,"Next course starts Semester 1, 2017",9 Sept/11 Nov/6 Jan (annual),Bachelors/Masters Degree,La Trobe Academic Excellence Scholarships for International Students,La Trobe University,https://www.scholars4dev.com/7051/la-trobe-excellence-scholarships-for-international-students/
Study in:  UK,Course starts September 2016,3 May 2016  (annual),Masters Degree,Westminster-ISH Scholarships for International Students,University of Westminster,https://www.scholars4dev.com/10512/westminster-ish-scholarships-for-international-students/
Study in:  Canada,Course starts Sept 2016,20 April 2016,Double Major Bachelor’s Degree,York World Scholars,York University,https://www.scholars4dev.com/17727/york-world-scholars/
"Study in: London, UK",Course starts September 2016,31 Mar 2016 (annual),Masters Degree,UWE Global Student Scholarships for International Students,University of West England,https://www.scholars4dev.com/8054/univeristy-west-england-scholarships-for-international-students/
Study in: Canada,Course starts 2023,varies (annual),Masters/PhD Degree,University of Manitoba Graduate Fellowships,University of Manitoba,https://www.scholars4dev.com/5304/masters-phd-scholarships-for-international-students-at-canada-manitoba-university/
Study in: New Zealand,Course starts 2019/20,anytime,Masters Degree,University of Otago International Research Master’s Scholarship,University of Otago,https://www.scholars4dev.com/12030/university-of-otago-international-research-masters-scholarship/
Study in: Greece,Course starts 2016,30 April 2015,Masters/PhD Degree,Greek Government Scholarships for Foreign Students,Greek Government,https://www.scholars4dev.com/4816/greek-scholarships-for-international-students/
Study in:  China,Course starts 2019,Jan-April (annual),Bachelors/Masters/PhD Degree,Chinese Government Scholarships-Bilateral Program for International Students,Chinese Government,https://www.scholars4dev.com/2514/chinese-government-scholarships-for-international-students/
Study in:  UK,Course starts September 2016,1 Apr 2016 (annual),Masters Degree,Edinburgh Global Masters Scholarships,University of Edinburgh,https://www.scholars4dev.com/2664/global-masters-scholarships-at-university-of-edinburgh/
Study in:  Turkey,Course starts September 2015,19 Sep 2014 (annual),Masters/PhD Degree,TUBITAK Graduate Scholarships for International Students,Turkish Government,https://www.scholars4dev.com/13827/tubitak-graduate-scholarships-for-international-students/
Study in: Australia,"Course starts Semester 2, 2016",30 Nov 2015 (annual),PhD Degree,University of Sydney Faculty of Science Scholarships for International Students,University of Sydney,https://www.scholars4dev.com/13837/university-of-sydney-faculty-of-science-scholarships-for-international-students/
"Study in: Denmark, Austria, Poland, HK",Course starts August 2017,8 Jan 2017 (annual),Various,Erasmus Mundus Joint Master Degree Scholarships in Media Arts Cultures,Danube University,https://www.scholars4dev.com/13670/erasmus-mundus-joint-master-degree-scholarships-in-media-arts-cultures/
Study in:  UK,Course starts October 2015,23 Jan 2015 (annual),Masters/PhD Degrees,Oxford Graduate Scholarships for International Students,Oxford University/Donors,https://www.scholars4dev.com/13431/oxford-graduate-scholarships-for-international-students/
Study in:  Switzerland,Course starts September 2016,31 Dec 2015 (annual),Masters Degree,University of Bern Masters Grants for International Students,University of Bern,https://www.scholars4dev.com/1989/international-scholarships-at-university-of-bern/
Study in: Slovakia,Course starts Sept 2014,30 May 2014 (annual),Bachelors/Masters/PhD Degree,Slovak Government Scholarships for Selected Developing Countries,Slovak Gov’t,https://www.scholars4dev.com/4781/slovak-government-scholarships-for-international-students/
Study in:  Taiwan,Course starts September 2019,31 March (annual),Bachelors/Masters/PhD Degree,Taiwan Government Scholarships for International Students,Government of Taiwan,https://www.scholars4dev.com/3103/taiwan-government-scholarships-for-international-students/
Study in:  Japan,Course starts October 2015,varies,Masters/PhD Degree,Japanese Government Scholarships for International Research Students,Japanese Government,https://www.scholars4dev.com/3426/japanese-government-scholarships-for-international-students/
Study in: Malaysia,Course starts 2015,31 March 2015,Masters/PhD/PostDoc,Malaysia International Scholarships (MIS),Gov’t of Malaysia,https://www.scholars4dev.com/4765/malaysian-international-scholarships/
Study in: Turkey and Germany,Course starts September 2014,31 May 2014 (annual),Masters (MS) Degree,GeTMA Scholarships for International Students in Turkey/Germany,DAAD,https://www.scholars4dev.com/6075/getma-scholarships-for-international-students-turkey-germany/
Study in:  Australia,Course starts 2014,varies,Masters/PhD Degree,Curtin University International Research Scholarships,Curtin University,https://www.scholars4dev.com/6165/curtin-university-scholarships-for-international-students/
Study in: Finland,Next Course starts September 2015,31 January (annual),Masters Degree,University of Oulu Tuition Fee Waivers for International Students,University of Oulu,https://www.scholars4dev.com/5599/university-of-oulu-international-masters-scholarship-programme/
"Study in:  Hawaii, USA",Course starts August 2015,3 Nov 2014 (annual),Masters/PhD Degree,EWC Graduate Degree Scholarships for Asia and the Pacific,East-West Center,https://www.scholars4dev.com/1440/east-west-center-graduate-degree-fellowships-for-asia-and-the-pacific/
Study in:  Norway,Next course starts 2016,1 December (annual),Bachelors/Masters/PhD Degree,Norwegian Quota Scholarship Scheme,Norwegian Government,https://www.scholars4dev.com/1965/quota-scholarships-for-developing-countries/
Study in: UK,Course starts 2014,10/24 Jan 2014 (annual),Masters/PhD Degrees,OCIS Scholarships for Muslims from Developing Countries,OCIS,https://www.scholars4dev.com/2625/ocis-scholarships-for-muslims/
Study in:  Netherlands,Course starts September 2014,4 Feb/6 May 2014,MS/MA Degree,Netherlands Master’s Fellowship Program for Developing Countries,Netherlands Government,https://www.scholars4dev.com/2349/nuffic-masters-fellowships-for-developing-countries/
